COLID,BlockID,MaxCurrentRate,Latitude,Longitude,Average.Duration.of.Paid.Parkers.in.Hours,Unpaid.Vehicles,Expired.Vehicles,Exempt.Vehicles,Spaces.Occupied,Survey.Count,Receipt.Transactions,Mobile.Transactions,StreetDirection,StreetSide,BlockDescription,BlockStartNumber,BlockEndNumber,TerminalLocationAddress,TerminalID,Area,Zone,ID,X,Y,megaCluster,Demand,Cars,ExpectedTimePerVehicle,PercentageCheck,TerminalTypeName,Driving_Blocks,Night_Blocks
2280,B456108,2,41.954089,-87.70927852,1.121,3,0,0,3,9,70,121,N,W, 4004 - 4014 N SAWYER AVE ,4004,4014,4008 N SAWYER AVE,456108,456,1,2280,441216.8729,4644922.049,0,0.333333333,0.333333333,30,1,MP104,0,0
2281,B456110,2,41.95408849,-87.71043578,1.162,4,0,0,8,9,788,739,N,E, 4001 - 4019 N SPAULDING AVE ,4001,4019,4005 N SPAULDING AVE,456110,456,1,2281,441120.9612,4644922.787,0,0.444444444,0.888888889,25.57676116,1,MP104,0,0
2282,B456111,2,41.95398404,-87.71084195,1.133,4,0,0,10,11,756,374,W,N, 3302 - 3338 W IRVING PARK RD ,3302,3338,3314 W IRVING PARK RD,456111,456,1,2282,441087.2026,4644911.469,0,0.363636364,0.909090909,27.32389381,1,MP104,0,0
2283,B456113,2,41.95378592,-87.71222595,0.93,0,0,0,1,6,262,153,W,S, 3337 - 3353 W IRVING PARK RD ,3337,3353,3343 W IRVING PARK RD,456113,456,1,2283,440972.3167,4644890.425,0,0,0.166666667,17.37349398,1,MP104,0,0
2284,B456114,2,41.95381238,-87.71117334,1.425,1,0,0,4,4,1094,882,W,S, 3307 - 3329 W IRVING PARK RD ,3307,3329,3315 W IRVING PARK RD,456114,456,1,2284,441059.5795,4644892.638,0,0.25,1,30,1,MP104,0,0
2285,B456115,2,41.95383236,-87.70987062,1.135,0,0,0,1,4,193,88,W,S, 3231 - 3263 W IRVING PARK RD ,3231,3263,3243 W IRVING PARK RD,456115,456,1,2285,441167.5649,4644893.961,0,0,0.25,22,1,MP104,0,0
2286,B456116,2,41.95384937,-87.70850662,0.813,3,0,0,4,3,1533,543,W,S, 3209 - 3231 W IRVING PARK RD ,3209,3231,3211 W IRVING PARK RD,456116,456,1,2286,441280.6263,4644894.914,0,1,1.333333333,26.30780347,1,MP104,0,0
2287,B456118,2,41.95312801,-87.70792814,0.984,1,0,0,4,3,390,154,N,E, 3931 - 3955 N KEDZIE AVE ,3931,3955,3935 N KEDZIE AVE,456118,456,1,2287,441327.908,4644814.426,0,0.333333333,1.333333333,22.83088235,1,MP104,0,0
2288,B456119,2,41.9538479,-87.70717834,0.789,1,0,0,1,4,227,79,W,S, 3137 - 3145 W IRVING PARK RD ,3137,3145,3141 W IRVING PARK RD,456119,456,1,2288,441390.7103,4644893.842,0,0.25,0.25,30,1,MP104,0,0
2289,B456120,2,41.95365399,-87.70673009,0.61,1,0,0,1,6,151,48,N,E, 3943 - 3949 N TROY ST ,3943,3949,3945 N TROY ST,456120,456,1,2289,441427.6829,4644872.006,0,0.166666667,0.166666667,30,1,MP104,0,0
2290,B456121,2,41.95387772,-87.70607091,0.814,2,0,0,11,5,1993,1123,W,S, 3111 - 3127 W IRVING PARK RD ,3111,3127,3111 W IRVING PARK RD,456121,456,1,2290,441482.5193,4644896.396,0,0.4,2.2,20.8628278,1,MP104,0,0
2291,B456122,2,41.95367101,-87.70560153,0.861,6,0,0,7,6,176,78,N,W, 3938 - 3952 N ALBANY AVE ,3938,3952,3948 N ALBANY AVE,456122,456,1,2291,441521.2316,4644873.125,0,1,1.166666667,30,1,MP104,0,0
2292,B456123,2,41.95364498,-87.70550664,0.778,0,0,0,0,5,319,94,N,E, 3941 - 3957 N ALBANY AVE ,3941,3957,3949 N ALBANY AVE,456123,456,1,2292,441529.0722,4644870.17,0,0,0,22,1,MP104,0,0
2293,B456124,2,41.95386788,-87.70498227,1.059,4,1,0,14,6,1625,646,W,S, 3035 - 3057 W IRVING PARK RD ,3035,3057,3041 W IRVING PARK RD,456124,456,1,2293,441572.7347,4644894.561,0,0.833333333,2.333333333,22.19406749,1,MP104,0,0
2294,B456125,2,41.95362412,-87.70683408,0.626,0,1,0,2,5,100,35,N,W, 3946 - 3946 N TROY ST ,3946,3946,3946 N TROY ST,456125,456,1,2294,441419.037,4644868.761,0,0.2,0.4,22.59259259,1,MP104,0,0
2295,B456155,2,41.953737,-87.70806531,0.679,0,0,0,0,3,564,144,N,W, 3948 - 3952 N KEDZIE AVE ,3948,3952,3950 N KEDZIE AVE,456155,456,1,2295,441317.0982,4644882.136,0,0,0,22,1,MP104,0,0
2296,B456156,2,41.95400308,-87.709637,0.715,0,0,0,1,7,255,65,W,N, 3240 - 3244 W IRVING PARK RD ,3240,3244,3242 W IRVING PARK RD,456156,456,1,2296,441187.0839,4644912.756,0,0,0.142857143,22,1,MP104,0,0
2297,B457101,2,41.9537629,-87.71358198,0.884,2,0,0,4,5,672,212,W,S, 3413 - 3423 W IRVING PARK RD ,3413,3423,3415 W IRVING PARK RD,457101,457,1,2297,440859.91,4644888.804,0,0.4,0.8,24.9321267,1,MP104,0,0
2298,B457102,2,41.95375791,-87.71470466,1.188,4,0,0,7,8,697,391,W,S, 3425 - 3457 W IRVING PARK RD ,3425,3457,3447 W IRVING PARK RD,457102,457,1,2298,440766.8597,4644889.025,0,0.5,0.875,24.50892857,1,MP104,0,0
2299,B457103,2,41.9537439,-87.71576132,0.993,0,0,0,1,5,34,31,W,S, 3513 - 3517 W IRVING PARK RD ,3513,3517,3515 W IRVING PARK RD,457103,457,1,2299,440679.2725,4644888.2,0,0,0.2,22,1,MP104,0,0
2300,B457104,2,41.9535436,-87.71655969,0.904,0,0,0,0,5,81,64,N,E, 3945 - 3951 N DRAKE AVE ,3945,3951,3949 N DRAKE AVE,457104,457,1,2300,440612.9191,4644866.514,0,0,0,22,1,MP104,0,0
2301,B457105,2,41.95359999,-87.71662713,1.04,0,0,0,0,5,130,46,N,W, 3946 - 3950 N DRAKE AVE ,3946,3950,3948 N DRAKE AVE,457105,457,1,2301,440607.3821,4644872.822,0,0,0,22,1,MP104,0,0
2302,B457106,2,41.95373932,-87.71711913,1.035,3,0,0,6,4,755,386,W,S, 3533 - 3555 W IRVING PARK RD ,3533,3555,3545 W IRVING PARK RD,457106,457,1,2302,440566.7353,4644888.633,0,0.75,1.5,26.69149869,1,MP104,0,0
2303,B457107,2,41.95359698,-87.71775994,1.007,1,0,0,4,10,518,613,N,E, 3919 - 3939 N CENTRAL PARK AVE ,3919,3939,3929 N CENTRAL PARK AVE,457107,457,1,2303,440513.4937,4644873.273,0,0.1,0.4,23.89330976,1,MP104,0,0
2304,B457108,2,41.95356306,-87.71785385,1.065,1,0,0,5,7,326,301,N,W, 3926 - 3942 N CENTRAL PARK AVE ,3926,3942,3936 N CENTRAL PARK AVE,457108,457,1,2304,440505.6791,4644869.573,0,0.142857143,0.714285714,22.20095694,1,MP104,0,0
2305,B457109,2,41.95370385,-87.71874371,0.429,0,0,0,2,10,616,105,W,S, 3609 - 3623 W IRVING PARK RD ,3609,3623,3619 W IRVING PARK RD,457109,457,1,2305,440432.0599,4644885.822,0,0,0.2,22,1,MP104,0,0
2306,B457110,2,41.95334502,-87.71856414,0.514,6,0,0,23,20,2037,489,N,E, 3951 - 3973 N ELSTON AVE ,3951,3973,3967 N ELSTON AVE,457110,457,1,2306,440446.6083,4644845.857,0,0.3,1.15,19.24782264,1,MP104,0,0
2307,B457111,2,41.95322887,-87.71853731,0.95,1,2,0,24,14,2106,1108,N,W, 3950 - 3974 N ELSTON AVE ,3950,3974,3966 N ELSTON AVE,457111,457,1,2307,440448.7238,4644832.943,0,0.214285714,1.714285714,19.35205352,1,MP104,0,0
2308,B457112,2,41.95384208,-87.71857167,1.376,2,0,0,3,12,629,778,W,N, 3604 - 3616 W IRVING PARK RD ,3604,3616,3610 W IRVING PARK RD,457112,457,1,2308,440446.447,4644901.05,0,0.166666667,0.25,27.01966359,1,MP104,0,0
2309,B457113,2,41.95386517,-87.71792941,1.369,6,0,0,13,11,738,565,N,W, 4002 - 4008 N CENTRAL PARK AVE ,4002,4008,4006 N CENTRAL PARK AVE,457113,457,1,2309,440499.6978,4644903.168,0,0.545454545,1.181818182,25.46891788,1,MP104,0,0
2310,B457114,2,41.95397999,-87.71776282,1.272,3,1,0,6,11,511,373,N,E, 4003 - 4005 N CENTRAL PARK AVE ,4003,4005,4005 N CENTRAL PARK AVE,457114,457,1,2310,440513.6112,4644915.801,0,0.363636364,0.545454545,26.14630468,1,MP104,0,0
2311,B457115,2,41.95385777,-87.71714978,1.263,0,0,0,11,9,366,499,W,N, 3522 - 3548 W IRVING PARK RD ,3522,3548,3538 W IRVING PARK RD,457115,457,1,2311,440564.3052,4644901.805,0,0,1.222222222,21.53757225,1,MP104,0,0
2312,B457116,2,41.95401099,-87.71664299,1.115,2,0,0,2,8,105,62,N,W, 4006 - 4014 N DRAKE AVE ,4006,4014,4008 N DRAKE AVE,457116,457,1,2312,440606.4492,4644918.466,0,0.25,0.25,30,1,MP104,0,0
2313,B457117,2,41.95401699,-87.7165498,0.927,0,0,0,0,7,148,63,N,E, 4005 - 4015 N DRAKE AVE ,4005,4015,4009 N DRAKE AVE,457117,457,1,2313,440614.1782,4644919.067,0,0,0,22,1,MP104,0,0
2314,B457118,2,41.95389807,-87.71613636,1.103,2,0,0,3,8,518,164,W,N, 3504 - 3524 W IRVING PARK RD ,3504,3524,3516 W IRVING PARK RD,457118,457,1,2314,440648.3329,4644905.577,0,0.25,0.375,24.93646139,1,MP104,0,0
2315,B457119,2,41.95392913,-87.71471427,0.864,4,0,0,10,8,1640,346,W,N, 3432 - 3450 W IRVING PARK RD ,3432,3450,3450 W IRVING PARK RD,457119,457,1,2315,440766.2218,4644908.042,0,0.5,1.25,21.74219537,1,MP104,0,0
2316,B457120,2,41.9540565,-87.71411643,0.793,20,0,0,35,16,1978,361,N,E, 4003 - 4013 N BERNARD ST ,4003,4013,4009 N BERNARD ST,457120,457,1,2316,440815.8874,4644921.771,0,1.25,2.1875,23.65754596,1,MP104,0,0
2317,B457121,2,41.9539181,-87.71368935,0.682,11,1,1,30,13,2450,489,W,N, 3402 - 3424 W IRVING PARK RD ,3402,3424,3412 W IRVING PARK RD,457121,457,1,2317,440851.1549,4644906.11,0,0.923076923,2.307692308,22.02627336,1,MP104,0,0
2318,B458102,2,41.95438706,-87.72012126,0.907,17,1,0,60,18,4967,1932,N,E, 4005 - 4045 N ELSTON AVE ,4005,4045,4025 N ELSTON AVE,458102,458,1,2318,440318.5283,4644962.637,0,1,3.333333333,21.00050732,1,MP104,0,0
2319,B458103,2,41.95651499,-87.72275423,0.421,3,0,0,6,9,279,87,N,E, 4121 - 4127 N HAMLIN AVE ,4121,4127,4125 N HAMLIN AVE,458103,458,1,2319,440102.307,4645200.736,0,0.333333333,0.666666667,26.18852459,1,MP104,0,0
2320,B458105,2,41.95679802,-87.72358675,1.002,23,2,0,38,16,674,361,N,E, 4153 - 4179 N ELSTON AVE ,4153,4179,4173 N ELSTON AVE,458105,458,1,2320,440033.5775,4645232.743,0,1.5625,2.375,27.82930757,1,MP104,0,0
2321,B458106,2,41.95657787,-87.72342056,1.194,14,1,1,25,11,1229,912,N,W, 4152 - 4176 N ELSTON AVE ,4152,4176,4164 N ELSTON AVE,458106,458,1,2321,440047.1441,4645208.183,0,1.363636364,2.272727273,26.71982385,1,MP104,0,0
2322,B458108,2,41.95381856,-87.72058835,0.813,5,0,0,19,12,1219,1067,W,N, 3654 - 3718 W IRVING PARK RD ,3654,3718,3700 W IRVING PARK RD,458108,458,1,2322,440279.2863,4644899.842,0,0.416666667,1.583333333,22.47182338,1,MP104,0,0
2323,B458109,2,41.95352098,-87.72030338,0.902,1,0,0,4,12,369,134,N,W, 3944 - 3950 N LAWNDALE AVE ,3944,3950,3946 N LAWNDALE AVE,458109,458,1,2323,440302.6264,4644866.604,0,0.083333333,0.333333333,18.99602386,1,MP104,0,0
2324,B458110,2,41.95368434,-87.71991769,0.84,3,2,0,21,15,2254,802,W,S, 3645 - 3655 W IRVING PARK RD ,3645,3655,3653 W IRVING PARK RD,458110,458,1,2324,440334.7442,4644884.473,0,0.333333333,1.4,18.7609075,1,MP104,0,0
2325,B458112,2,41.946119,-87.72001741,1.214,0,0,0,2,9,223,120,N,E, 3547 - 3555 N LAWNDALE AVE ,3547,3555,3551 N LAWNDALE AVE,458112,458,1,2325,440319.423,4644044.572,0,0,0.222222222,22,1,MP104,0,0
2326,B458116,2,41.95660899,-87.72285636,0.367,3,0,0,6,10,323,27,N,W, 4122 - 4126 N HAMLIN AVE ,4122,4126,4124 N HAMLIN AVE,458116,458,1,2326,440093.9311,4645211.244,0,0.3,0.6,22.61714286,1,MP104,0,0
2327,B458117,2,41.95413687,-87.71986519,0.757,5,1,0,14,11,3488,1238,N,W, 4018 - 4020 N ELSTON AVE ,4018,4020,4020 N ELSTON AVE,458117,458,1,2327,440339.5174,4644934.68,0,0.545454545,1.272727273,22.61955142,1,MP104,0,0
2328,B458118,2,41.95400999,-87.71899767,1.148,3,1,0,8,11,371,218,N,E, 4007 - 4011 N MONTICELLO AVE ,4007,4011,4009 N MONTICELLO AVE,458118,458,1,2328,440411.2973,4644919.989,0,0.363636364,0.727272727,25.8007923,1,MP104,0,0
2329,B458129,2,41.95353303,-87.72021296,0.789,5,0,0,6,12,265,85,N,E, 3945 - 3949 N LAWNDALE AVE ,3945,3949,3949 N LAWNDALE AVE,458129,458,1,2329,440310.1315,4644867.879,0,0.416666667,0.5,27.47619048,1,MP104,0,0
2330,B458130,2,41.95341798,-87.7190679,0.945,9,0,8,20,15,612,312,N,W, 3946 - 3950 N MONTICELLO AVE ,3946,3950,3948 N MONTICELLO AVE,458130,458,1,2330,440404.9253,4644854.308,0,0.6,1.333333333,27.59149941,1,MP104,0,0
2331,B458131,2,41.95408199,-87.71908633,1.067,2,0,0,4,11,279,194,N,W, 4004 - 4010 N MONTICELLO AVE ,4004,4010,4006 N MONTICELLO AVE,458131,458,1,2331,440404.0164,4644928.045,0,0.181818182,0.363636364,26.06765328,1,MP104,0,0
2332,B459101,2,41.95913484,-87.72715412,0.954,6,2,0,24,11,2544,1116,N,W, 4312 - 4330 N ELSTON AVE ,4312,4330,4322 N ELSTON AVE,459101,459,1,2332,439740.1358,4645494.7,0,0.727272727,2.181818182,21.15350224,1,MP104,0,0
2333,B459102,2,41.95913304,-87.72700248,0.766,10,2,0,32,14,2609,556,N,E, 4307 - 4329 N ELSTON AVE ,4307,4329,4317 N ELSTON AVE,459102,459,1,2333,439752.7007,4645494.393,0,0.857142857,2.285714286,22.1151178,1,MP104,0,0
2334,B459105,2,41.96059405,-87.72914014,0.967,22,4,0,83,22,4832,1456,N,E, 4349 - 4399 N ELSTON AVE ,4349,4399,4391 N ELSTON AVE,459106,459,1,2334,439576.9303,4645658.113,0,1.181818182,3.772727273,19.5041271,1,MP104,0,0
2335,B459107,2,41.96036769,-87.72890322,0.933,26,2,0,55,13,4577,1255,N,W, 4342 - 4388 N ELSTON AVE ,4342,4388,4368 N ELSTON AVE,459107,459,1,2335,439596.3499,4645632.814,0,2.153846154,4.230769231,22.44259005,1,MP104,0,0
2336,B459109,2,41.95927552,-87.72777735,0.853,3,3,0,13,9,1224,426,N,W, 4302 - 4310 N PULASKI RD ,4302,4310,4304 N PULASKI RD,459109,459,1,2336,439688.6205,4645510.758,0,0.666666667,1.444444444,22.58181818,1,MP104,0,0
2337,B460101,2,41.96099004,-87.728256,0.756,3,1,0,29,15,4182,737,W,N, 4006 - 4024 W MONTROSE AVE ,4006,4024,4008 W MONTROSE AVE,460101,460,1,2337,439650.5721,4645701.456,0,0.266666667,1.933333333,16.08808147,1,MP104,0,0
2338,B460102,2,41.96111,-87.72899262,0.736,7,1,0,21,15,1659,257,N,E, 4403 - 4409 N KEYSTONE AVE ,4403,4409,4405 N KEYSTONE AVE,460102,460,1,2338,439589.6426,4645715.295,0,0.533333333,1.4,19.60960334,1,MP104,0,0
2339,B460103,2,41.96228904,-87.73158243,0.926,47,3,0,88,21,3002,956,N,E, 4403 - 4477 N ELSTON AVE ,4403,4477,4471 N ELSTON AVE,460105,460,1,2339,439376.1459,4645848.031,0,2.380952381,4.19047619,24.43153108,1,MP104,0,0
2340,B460106,2,41.96211689,-87.73147363,0.922,17,1,0,29,14,3403,675,N,W, 4406 - 4476 N ELSTON AVE ,4406,4476,4460 N ELSTON AVE,460106,460,1,2340,439384.9987,4645828.841,0,1.285714286,2.071428571,26.37183615,1,MP104,0,0
2341,B460108,2,41.96092004,-87.73469934,0.807,4,0,0,9,11,802,138,W,N, 4106 - 4118 W MONTROSE AVE ,4106,4118,4112 W MONTROSE AVE,460108,460,1,2341,439116.5529,4645698.242,0,0.363636364,0.818181818,24.31205674,1,MP104,0,0
2342,B460109,2,41.96089659,-87.73526502,0.729,1,0,0,1,9,111,46,W,N, 4150 - 4158 W MONTROSE AVE ,4150,4158,4154 W MONTROSE AVE,460109,460,1,2342,439069.6532,4645696.041,0,0.111111111,0.111111111,30,1,MP104,0,0
2343,B460110,2,41.96087483,-87.73146666,0.95,4,2,0,7,11,308,123,W,S, 4135 - 4157 W MONTROSE AVE ,4135,4157,4149 W MONTROSE AVE,460110,460,1,2343,439384.399,4645690.931,0,0.545454545,0.636363636,27.95823666,1,MP104,0,0
2344,B460111,2,41.96089381,-87.73058836,0.943,2,0,0,6,10,833,217,W,S, 4109 - 4133 W MONTROSE AVE ,4109,4133,4129 W MONTROSE AVE,460111,460,1,2344,439457.2009,4645692.417,0,0.2,0.6,22.06666667,1,MP104,0,0
2345,B460112,2,41.96090984,-87.72843732,0.786,5,3,1,25,15,3676,643,W,S, 4013 - 4019 W MONTROSE AVE ,4013,4019,4015 W MONTROSE AVE,460112,460,1,2345,439635.4706,4645692.68,0,0.533333333,1.666666667,19.78652466,1,MP104,0,0
2346,B461101,2,41.95376103,-87.72596266,1.245,2,0,0,4,13,291,263,W,N, 3902 - 3922 W IRVING PARK RD ,3902,3922,3918 W IRVING PARK RD,461101,461,1,2346,439833.8191,4644897.214,0,0.153846154,0.307692308,24.74729242,1,MP104,0,0
2347,B461102,2,41.95371811,-87.726978,1.057,1,0,0,6,14,1142,535,W,N, 3932 - 3960 W IRVING PARK RD ,3932,3960,3940 W IRVING PARK RD,461102,461,1,2347,439749.6291,4644893.162,0,0.071428571,0.428571429,19.10435301,1,MP104,0,0
2348,B461103,2,41.95370206,-87.728441,1.181,2,0,0,10,12,983,524,W,N, 4020 - 4026 W IRVING PARK RD ,4020,4026,4020 W IRVING PARK RD,461103,461,1,2348,439628.3629,4644892.41,0,0.166666667,0.833333333,20.21566025,1,MP104,0,0
2349,B461104,2,41.95364119,-87.73325509,0.928,14,1,1,25,14,842,625,W,N, 4208 - 4230 W IRVING PARK RD ,4208,4230,4218 W IRVING PARK RD,461104,461,1,2349,439229.3212,4644889.054,0,1.071428571,1.785714286,27.58332436,1,MP104,0,0
2350,B461105,2,41.95362511,-87.734877,1.124,10,0,0,28,12,1597,1225,W,N, 4240 - 4262 W IRVING PARK RD ,4240,4262,4256 W IRVING PARK RD,461105,461,1,2350,439094.8846,4644888.42,0,0.833333333,2.333333333,23.60274859,1,MP104,0,0
2351,B461106,2,41.95351576,-87.73480191,1.075,5,0,1,9,10,1092,1185,W,S, 4251 - 4269 W IRVING PARK RD ,4251,4269,4259 W IRVING PARK RD,461106,461,1,2351,439101.0038,4644876.225,0,0.5,0.9,28.40140536,1,MP104,0,0
2352,B461107,2,41.95353979,-87.73332068,0.928,6,1,0,26,12,1568,1088,W,S, 4209 - 4229 W IRVING PARK RD ,4209,4229,4221 W IRVING PARK RD,461107,461,1,2352,439223.7889,4644877.842,0,0.583333333,2.166666667,21.49879518,1,MP104,0,0
2353,B461110,2,41.95290407,-87.73095594,0.951,3,0,0,21,9,2375,1667,N,E, 3951 - 3969 N AVONDALE AVE ,3951,3969,3961 N AVONDALE AVE,461110,461,1,2353,439419.1732,4644805.584,0,0.333333333,2.333333333,20.10390896,1,MP104,0,0
2354,B461111,2,41.9535918,-87.72869973,1.22,16,4,1,54,16,3853,2576,W,S, 4019 - 4031 W IRVING PARK RD ,4019,4031,4021 W IRVING PARK RD,461111,461,1,2354,439606.8157,4644880.35,0,1.25,3.375,22.90606023,1,MP104,0,0
2355,B461112,2,41.95310701,-87.72755489,0.797,9,1,0,37,12,2289,776,N,E, 3935 - 3945 N PULASKI RD ,3935,3945,3945 N PULASKI RD,461112,461,1,2355,439701.2414,4644825.718,0,0.833333333,3.083333333,19.45667402,1,MP104,0,0
2356,B461113,2,41.95360778,-87.72687836,0.988,34,6,0,91,21,4347,2297,W,S, 3909 - 3961 W IRVING PARK RD ,3909,3961,3943 W IRVING PARK RD,461113,461,1,2356,439757.7832,4644880.842,0,1.904761905,4.333333333,22.86245964,1,MP104,0,0
2357,B461114,2,41.95331301,-87.7324955,0.895,2,0,1,12,11,653,697,N,W, 3956 - 3960 N KEELER AVE ,3956,3960,3958 N KEELER AVE,461114,461,1,2357,439291.9634,4644852.078,0,0.181818182,1.090909091,22.74444444,1,MP104,0,0
2358,B462201,2,41.93397227,-87.64441598,0.876,22,14,10,301,38,21880,18065,N,E, 2813 - 2847 N BROADWAY ST ,2813,2847,2835 N BROADWAY ST,462221,462,2,2358,446575.7427,4642646.062,0,0.947368421,7.921052632,20.52757692,1,MP104,0,0
2359,B462202,2,41.93465725,-87.64422387,1.19,16,3,0,191,39,6125,9584,N,E, 2855 - 2917 N BROADWAY ST ,2855,2917,2871 N BROADWAY ST,462202,462,2,2359,446592.2408,4642721.994,0,0.487179487,4.897435897,23.0028061,1,MP104,0,0
2360,B462203,2,41.93589334,-87.64425002,1.23,9,5,5,230,37,9571,11359,N,E, 2923 - 2949 N BROADWAY ST ,2923,2949,2933 N BROADWAY ST,462203,462,2,2360,446591.1042,4642859.252,0,0.378378378,6.216216216,21.45259454,1,MP104,0,0
2361,B462204,2,41.93716781,-87.64429159,1.108,6,2,0,63,32,3186,3656,N,E, 3007 - 3033 N BROADWAY ST ,3007,3033,3025 N BROADWAY ST,462204,462,2,2361,446588.7215,4643000.78,0,0.25,1.96875,22.0173717,1,MP104,0,0
2362,B462205,2,41.93764367,-87.64364116,0.95,10,4,0,77,38,2193,2178,W,S, 555 - 561 W BARRY AVE ,555,561,559 W BARRY AVE,462205,462,2,2362,446643.0385,4643053.209,0,0.368421053,2.026315789,21.97254633,1,MP104,0,0
2363,B462206,2,41.93766761,-87.64385238,1.003,6,2,1,65,35,2198,2361,W,N, 558 - 562 W BARRY AVE ,558,562,560 W BARRY AVE,462206,462,2,2363,446625.5486,4643055.999,0,0.228571429,1.857142857,21.64319661,1,MP104,0,0
2364,B462207,2,41.93790953,-87.6447583,1.075,8,2,8,63,38,1448,1649,W,N, 602 - 608 W BARRY AVE ,602,608,608 W BARRY AVE,462207,462,2,2364,446550.6508,4643083.423,0,0.263157895,1.657894737,22.48254161,1,MP104,0,0
2365,B462208,2,41.93788709,-87.64472678,1.042,4,2,5,66,41,1174,1239,W,S, 605 - 609 W BARRY AVE ,605,609,607 W BARRY AVE,462208,462,2,2365,446553.245,4643080.912,0,0.146341463,1.609756098,21.29365062,1,MP104,0,0
2366,B462209,2,41.9372455,-87.64432947,1.158,3,0,0,14,10,4528,5483,N,W, 3010 - 3040 N BROADWAY ST ,3010,3040,3038 N BROADWAY ST,462209,462,2,2366,446585.6461,4643009.429,0,0.3,1.4,22.8923898,1,MP104,0,0
2367,B462210,2,41.93589184,-87.64428489,1.204,16,10,15,248,40,9177,10296,N,W, 2928 - 2948 N BROADWAY ST ,2928,2948,2934 N BROADWAY ST,462210,462,2,2367,446588.2122,4642859.107,0,0.65,6.2,21.7039474,1,MP104,0,0
2368,B462211,2,41.93556312,-87.64456183,1.133,7,0,2,71,39,1522,1617,W,N, 602 - 608 W OAKDALE AVE ,602,608,606 W OAKDALE AVE,462211,462,2,2368,446564.9791,4642822.782,0,0.179487179,1.820512821,21.34697478,1,MP104,0,0
2369,B462212,2,41.93521294,-87.64426075,1.281,9,1,0,125,44,5735,4128,N,W, 2908 - 2914 N BROADWAY ST ,2908,2914,2908 N BROADWAY ST,462212,462,2,2369,446589.647,4642783.715,0,0.227272727,2.840909091,19.43758854,1,MP104,0,0
2370,B462214,2,41.93450062,-87.64427014,0.861,46,12,12,575,42,35301,27670,N,W, 2812 - 2868 N BROADWAY ST ,2812,2868,2854 N BROADWAY ST,462214,462,2,2370,446588.2742,4642704.633,0,1.380952381,13.69047619,20.02917616,1,MP104,0,0
2371,B462217,2,41.93556811,-87.64397644,1.063,5,0,0,19,36,591,667,W,N, 556 - 560 W OAKDALE AVE ,556,560,558 W OAKDALE AVE,462217,462,2,2371,446613.5131,4642822.972,0,0.138888889,0.527777778,23.21409645,1,MP104,0,0
2372,B462218,2,41.93553868,-87.6439248,1.099,1,1,0,37,36,963,1108,W,S, 557 - 561 W OAKDALE AVE ,557,561,557 W OAKDALE AVE,462218,462,2,2372,446617.7696,4642819.672,0,0.055555556,1.027777778,21.23156515,1,MP104,0,0
2373,B462219,2,41.93553718,-87.64450416,1.116,6,1,0,42,40,891,982,W,S, 603 - 605 W OAKDALE AVE ,603,605,605 W OAKDALE AVE,462219,462,2,2373,446569.7384,4642819.866,0,0.175,1.05,22.19351924,1,MP104,0,0
2374,B462220,2,41.93484381,-87.64451556,0.991,7,2,1,76,44,1831,1911,W,S, 603 - 609 W SURF ST ,603,609,603 W SURF ST,462220,462,2,2374,446568.2146,4642742.89,0,0.204545455,1.727272727,21.45429498,1,MP104,0,0
2375,B463101,2,41.93881894,-87.74522366,0.982,5,2,4,20,14,1104,376,W,S, 4701 - 4729 W BELMONT AVE ,4701,4729,4715 W BELMONT AVE,463101,463,1,2375,438223.0761,4643251.913,0,0.5,1.428571429,21.60810811,1,MP104,0,0
2376,B463102,2,41.93515293,-87.74626464,0.583,0,0,0,0,10,218,29,W,S, 4751 - 4759 W WELLINGTON AVE ,4751,4759,4755 W WELLINGTON AVE,463102,463,1,2376,438133.238,4642845.632,0,0,0,22,1,MP104,0,0
2377,B463103,2,41.9352046,-87.74617634,0.668,0,0,0,2,12,259,20,W,N, 4752 - 4758 W WELLINGTON AVE ,4752,4758,4754 W WELLINGTON AVE,463103,463,1,2377,438140.6083,4642851.305,0,0,0.166666667,11.43369176,1,MP104,0,0
2378,B463104,2,41.93655793,-87.74670873,0.959,9,1,0,14,12,729,175,N,E, 3015 - 3051 N CICERO AVE ,3015,3051,3041 N CICERO AVE,463124,463,1,2378,438097.7806,4643001.948,0,0.833333333,1.166666667,27.3119469,1,MP104,0,0
2379,B463105,2,41.93766901,-87.74673488,1.109,3,3,0,9,10,896,298,N,E, 3103 - 3125 N CICERO AVE ,3103,3125,3121 N CICERO AVE,463105,463,1,2379,438096.6874,4643125.328,0,0.6,0.9,26.2479062,1,MP104,0,0
2380,B463106,2,41.938083,-87.74672207,0.681,1,1,0,6,10,855,125,N,E, 3133 - 3147 N CICERO AVE ,3133,3147,3135 N CICERO AVE,463106,463,1,2380,438098.1497,4643171.284,0,0.2,0.6,18.36734694,1,MP104,0,0
2381,B463107,2,41.93880593,-87.74595227,0.848,3,0,0,12,10,1137,330,W,S, 4731 - 4761 W BELMONT AVE ,4731,4761,4753 W BELMONT AVE,463107,463,1,2381,438162.6635,4643250.994,0,0.3,1.2,19.14928425,1,MP104,0,0
